Navn;Pris
TV2 News;40,00 kroner 
TV2 Fri;30,00 kroner 
TV 2 Echo;40,00 kroner 
TV 2 Sport;40,00 kroner 
TV2 Sport X;40,00 kroner 
TV3 MAX;30,00 kroner 
TV3 Sport;99,00 kroner 
TV3+;99,00 kroner 
V Sport Golf;30,00 kroner 
See;40,00 kroner 
Canal 9;40,00 kroner 
6'eren;40,00 kroner 
Eurosport 1;20,00 kroner 
Eurosport 2;30,00 kroner 
Discovery Channel;30,00 kroner 
Discovery Science;10,00 kroner 
ID - Investigation Discovery;20,00 kroner 
Disney Channel;30,00 kroner 
Disney Junior;20,00 kroner 
Animal Planet;20,00 kroner 
Nat Geo Wild;20,00 kroner 
National Geographic;20,00 kroner 
Nick. Jr.;10,00 kroner 
Nickelodeon;20,00 kroner 
Cartoon Network;20,00 kroner 
Cartoonito;20,00 kroner 
CNN;20,00 kroner 
BBC News;20,00 kroner 
Euronews;20,00 kroner 
MTV;20,00 kroner 
MTV 80s;10,00 kroner 
MTV 90s;10,00 kroner 
MTV club;10,00 kroner 
MTV Hits;10,00 kroner 
MTV Live;20,00 kroner 
VH1;20,00 kroner 
CMORE;99,00 kroner 
V series & film;99,00 kroner 
Viasat Explorer;10,00 kroner 
Viasat History;10,00 kroner 
Viasat Nature;10,00 kroner 
Blue Hustler;10,00 kroner 
Hustler TV;99,00 kroner 
3Sat;10,00 kroner 
Al-Jazeera;10,00 kroner 
Arte;10,00 kroner 
CBS Reality;10,00 kroner 
ESC/ESC1;10,00 kroner 
HRT - TV1;10,00 kroner 
Mezzo;10,00 kroner 
Polonia;10,00 kroner 
Pro 7;10,00 kroner 
RAI UNO;10,00 kroner 
Sat1;10,00 kroner 
TLC;30,00 kroner 
Travel Channel;10,00 kroner 
TV5 Monde;10,00 kroner 
TVE Internacional;10,00 kroner 
VOX;10,00 kroner 
