Kanal,StofaVaelgSelv_point
TV2,0.0
TV2 Charlie,0.0
TV2 Fri,1.0
TV2 News,1.0
TV2 Sport,2.0
TV2 SportX,2.0
TV2 Echo,1.0
TV3,0.0
TV3 Max,1
TV3+,3.0
TV3 Puls,0.0
TV3 Sport,3.0
Kanal 4,0.0
Kanal 5,0.0
6'eren,1.0
Canal 9,1.0
Discovery Channel,1.0
DK4,0.0
National Geographic,1.0
3Sat,1.0
Al-Jazeera,1.0
Animal Planet,1.0
ARD,
ARTE,1.0
BBC Brit,
BBC Earth,
BBC World News,
Blue Hustler,1.0
Boomerang,1.0
Cartoon Network,1.0
CBS Reality,1.0
CNN,1.0
Disney Channel,1.0
Disney Junior,1.0
Euronews,1.0
Eurosport 1,1.0
Eurosport 2,2.0
ID-Investigation Discovery,1.0
Mezzo,1.0
MTV,1.0
MTV 80s,1.0
MTV 90s,1.0
MTV Hits,1.0
National Geographic Wild,1.0
NDR,0.0
Nick jr.,1.0
Nickelodeon,1.0
NRK1,0.0
ZDF,0.0
SVT1,0.0
Folketinget,0.0
NRK2,0.0
TV4 Sverige,0.0
SVT2,0.0
TV2 Norge,0.0
ProSieben,1.0
Rai 1,1.0
See,2.0
TLC,1.0
VH1,1.0
V sport golf,1.0
Viasat Explore,1.0
Viasat History,1.0
Viasat Nature,1.0
Discovery Science,1.0
ESC/ESC1,1.0
Extreme Sport,
HRT-TV1,1.0
MTV Club,1.0
MTV Live,1.0
Polonia,1.0
Sport Live,0.0
