Kanal,NorlysVaelgFritDTT_pris,NorlysVaelg8DTT_binaer,NorlysVaelgAltDTT_binaer,NorlysPakkeloesningOTT_pakker,NorlysVaelg4OTT_binaer,NorlysVaelg8OTT_binaer,NorlysVaelg20OTT_binaer,StofaPakkeloesning_pakker,StofaVaelgSelv_point,YouseePlay_point,AllenteStreamTV_pakker,AllenteParabolTV_pakker
TV2,49.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0
TV2 Charlie,39.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
TV2 Fri,39.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0
TV2 News,39.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0
TV2 Sport,39.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0
TV2 SportX,39.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0
TV2 Echo,39.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0
TV3,39.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0
TV3 Max,39.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0
TV3+,39.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0
TV3 Puls,39.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
TV3 Sport,39.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0
Kanal 4,39.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0
Kanal 5,39.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0
6'eren,39.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
Canal 9,39.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,2.0,2.0
Discovery Channel,39.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
DK4,39.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
National Geographic,39.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3Sat,,,,,,,,,1.0,1.0,,
Al-Jazeera,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0
Animal Planet,29.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0
ARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
ARTE,,,,,,,,,1.0,1.0,,
BBC Nordic,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0
BBC News,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
Blue Hustler,,,,,,,,,1.0,2.0,,
Cartoonito,,1.0,1.0,,1,1,1,2.0,1.0,1.0,,1.0
Cartoon Network,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
CBS Reality,,,,,1.0,1.0,1.0,,1.0,1.0,,
CNN,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0
Disney Channel,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Disney Junior,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
Euronews,,,,,1.0,1.0,1.0,,1.0,1.0,,
Eurosport 1,29.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,2.0,2.0
Eurosport 2,39.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,2.0,2.0
ID-Investigation Discovery,29.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0
Mezzo,,,,,1.0,1.0,1.0,,1.0,1.0,,
MTV,,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
MTV 80s,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
MTV 90s,,,,,1.0,1.0,1.0,,1.0,1.0,,
MTV Hits,,,,,1.0,1.0,1.0,,1.0,1.0,,
National Geographic Wild,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0
NDR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Nick jr.,,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
Nickelodeon,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NRK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZDF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
SVT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Folketinget,,,,0.0,,,,0.0,0.0,0.0,,
NRK2,,,,,,,,0.0,0.0,,,
TV4 Sverige,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TV2 Norge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
ProSieben,,,,,,,,,1.0,1.0,,
Rai 1,,,,,1.0,1.0,1.0,,1.0,1.0,,
See,39.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0
TLC,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
Nick Music,29.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,
V sport golf,,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,
Viasat Explore,,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
Viasat History,,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
Viasat Nature,,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
Discovery Science,,,,,1.0,1.0,1.0,,1.0,,1.0,1.0
ESC/ESC1,,,,,,,,,1.0,,,
Extreme Sport,,,,,,,,,,,,
HRT-TV1,,,,,,,,,1.0,,,
MTV Club,,,,,1.0,1.0,1.0,,1.0,,,
MTV Live,,,,,1.0,1.0,1.0,,1.0,,,
Polonia,,,,,,,,,1.0,,,
Sport Live,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0
